,ApplicationId,SubprojectId,FiscalYear,OrganisationName,OrganisationCity,OrganisationState,DepartmentType,ProjectNumber,ProjectSerialNumber,OrganisationCountry,ActivityCode,AwardAmount,IsActive,ProgramOfficers,AgencyICFundig,ProjectStartDate,ProjectEndDate,FundingOpportunityAnnouncements,AbstractText,ProjectTitle,PHRText,ProjectInvestigatorsName,ProjectInvestigatorsId
0,6752762,,2004,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,INTERNAL MEDICINE/MEDICINE,5T32DK007120-30,DK007120,UNITED STATES,T32,392032,False,JAMES F HYDE,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2005-06-30T04:00:00Z,,,DIABETES AND RELATED METABOLIC DISEASES,,Marshall Alan PERMUTT,6365732
1,6767707,,2004,HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),BOSTON,MA,PUBLIC HEALTH & PREV MEDICINE,5T32HL007118-29,HL007118,UNITED STATES,T32,450489,False,Ann E. Rothgeb,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,Lung Biology and Respiratory Disease,,Joseph D Brain,1889196
2,6766938,,2004,UNIVERSITY OF WASHINGTON,SEATTLE,WA,DENTISTRY,5T32DE007023-28,DE007023,UNITED STATES,T32,541010,False,Kevin S Hardwick,National Institute of Dental and Craniofacial Research,1975-07-01T04:00:00Z,2007-06-30T04:00:00Z,,"
DESCRIPTION (provided by applicant):   
This Research Training Grant renewal application is an extensively revised resubmission of our initial proposal to support cross-disciplinary and comprehensive dental science research training at the School of Dentistry at the University of Washington. The application constitutes the competing renewal of the former Oral Biology-Salivary Research Training and the Bacterially Induced Chronic Inflammation Research Training grants. The revised application consists of a single research training facility and program, focused on using molecular and cell biology and bioengineering approaches to study the basic biology of the oral tissues and their reactions to microbial pathogens and inert materials. The Program is administered by a Program Coordinator, and directed by a Program Oversight Committee. The collaborating Training Faculty include individuals from the Schools of Dentistry, Medicine, Public Health and the Department of Bioengineering; and are organized into 12 groups based on research interests. The proposed training program consists of two phases: 1) All trainees will receive coursework in the major competency areas cited in the PA including: genomics, molecular biology and molecular epidemiology, gene-mediated diagnosis and therapeutics, cell biology, bioinformatics, biomaterials, biomimetics, nanotechnology, tissue engineering and bioimaging technology. Coursework will also include experimental design and data analysis, and dental sciences. PhD students will receive the most training; MS and short-term trainees will receive less. 2) All trainees will learn to perform biological experiments using molecular and cell biology and/or bioengineering approaches by designing and performing experiments under the direction of a Research Mentor chosen from the proposed training faculty. A total of 12.75 training positions are requested, of which 6 are postdoctoral and 5 are predoctoral long term positions, 1.5 are short term positions for dental students, and 0.25 are short term positions for new and midcareer dental school faculty. Although long term trainees may elect to matriculate in a PhD or MS (dentists only) programs in 6 departments, Oral Biology and Bioengineering are expected to have highest enrollments. Courses to be taken in conjunction with this training are described in some detail.",Cross-Disciplinary Dental Science Research Training,,Kenneth T Izutsu,1877343
3,6766756,,2004,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NC,INTERNAL MEDICINE/MEDICINE,5T32HL007106-30,HL007106,UNITED STATES,T32,337783,False,Ann E. Rothgeb,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2006-12-31T05:00:00Z,,,"Pulmonary, Critical Care, and Molecular Training",,Richard Charles Boucher,1860172
4,6763108,,2004,UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,BIOCHEMISTRY,5T32GM007215-29,GM007215,UNITED STATES,T32,1335444,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,GRADUATE TRAINING IN MOLECULAR BIOSCIENCES,,DAVID A BROW,1927890
5,6763093,,2004,UNIVERSITY OF CHICAGO,CHICAGO,IL,GENETICS,5T32GM007183-30,GM007183,UNITED STATES,T32,1478783,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,Molecular and Cellular Biology Training Grant,,HARINDER  SINGH,1978275
6,6762375,,2004,VANDERBILT UNIVERSITY,NASHVILLE,TN,INTERNAL MEDICINE/MEDICINE,5T32DK007061-31,DK007061,UNITED STATES,T32,315038,False,JAMES F HYDE,National Institute of Diabetes and Digestive and Kidney Diseases,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,,,RESEARCH TRAINING IN DIABETES AND ENDOCRINOLOGY,,JAMES M. MAY,1877106
7,6752442,,2004,UNIVERSITY OF IOWA,IOWA CITY,IA,INTERNAL MEDICINE/MEDICINE,5T32HL007121-30,HL007121,UNITED STATES,T32,829869,False,Beth  Schucker,National Heart Lung and Blood Institute,1975-07-01T04:00:00Z,2006-04-30T04:00:00Z,,,Interdisciplinary Cardiovascular Research Fellowship,,FRANCOIS M ABBOUD,1864622
8,6751030,,2004,STANFORD UNIVERSITY,STANFORD,CA,BIOLOGY,2T32GM007276-29,GM007276,UNITED STATES,T32,1613059,False,MARION M. ZATZ,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2009-06-30T04:00:00Z,,"  
DESCRIPTION (provided by applicant):  Our program will direct predoctoral training in cellular and molecular biology at Stanford University.  Exceptional students will be provided with a common training experience that includes:1. Formal course work from a menu of biology foundational and specialized courses taught collaboratively by the training faculty; 2. Seminars and journal clubs; and 3. Exciting thesis research opportunities with exceptional faculty preceptors.  These elements are woven together to provide all trainees with a common training experience.  In addition to the common program elements mentioned above, there are 3 programmatic components exclusively for our trainees.  We have initiated a CBM Research Symposium, a CMB Literature/Seminar course and a CMB Science/Social.  These ""enrichment"" components will enhance program identity and cohesiveness.  
  
The Program Directors and the Executive Committee assure that all committee meetings, course requirements, and exams are completed on schedule and that thesis progress is satisfactory.  They will carefully monitor student progress and compliance with programmatic schedules.  It is our expectation that close monitoring reduce the time necessary to complete the work for a Ph.D.  
  
We expect that our students will continue to be highly successful in careers in biomedical research and many will become leaders.  
      

",Cellular and Molecular Biology Training Program,,ROBERT D SIMONI,1859078
9,6748560,,2004,UNIVERSITY OF CHICAGO,CHICAGO,IL,GENETICS,5T32GM007197-30,GM007197,UNITED STATES,T32,850280,False,Marcus M. Rhoades,National Institute of General Medical Sciences,1975-07-01T04:00:00Z,2006-06-30T04:00:00Z,," DESCRIPTION: (Taken from the Application) The Genetics and Regulation training     
 program at The University of Chicago is a broad interdisciplinary program at       
 training Ph.D. scholars in advanced rationales and methods of genetic analysis     
 for careers as independent scientists in basic and applied biomedical research     
 and education. The training faculty are comprised of tenure-track members of       
 five basic science departments: Biochemistry and Molecular Biology, Ecology and    
 Evolution, Human Genetics, Molecular Genetics and Cell Biology, and Organismal     
 Biology and Anatomy, plus selected faculty in the Departments of Medicine,         
 Psychiatry, Radiation Oncology and Surgery. Most of the trainers also have         
 secondary appointments in the Committee on Genetics. The Director and a            
 Steering Committee of trainers in the major participating departments,             
 representing various sub disciplines of genetics administer the training grant.    
 Trainees are selected from students admitted to various Departments and            
 degree-granting Committees, on the basis of previous academic record slid          
 specific interest in genetics. They take courses in molecular, transmission and    
 population genetics and meet uniform program standards. Individual                 
 Departmental/Committee advisory committees and the Genetics and Regulation         
 Training Grant Steering Committee monitor progress on a regular basis. Common      
 features of the program are course work, laboratory rotations, teaching and        
 assisting in courses, seminar programs, journal clubs, joint research meetings,    
 student seminar programs and Mini-Symposia focused on areas of current interest    
 in genetics. A total of 18 increasing to 24 trainees is proposed for the next      
 five-year period.                                                                  
                                                                                    
",GENETICS AND REGULATION (NRSA),,LUCIA B. B ROTHMAN-DENES,1888982
